orgao,area,tipo_dado,url,periodicidade,anos_disponiveis,formato,status,prioridade,proximo_passo,observacao
Prefeitura,orcamento,ppa,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,a_mapear,pdf,lacuna,alta,inventariar_links_por_ano,"plano plurianual; base de planejamento de medio prazo"
Prefeitura,orcamento,ldo,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,a_mapear,pdf,lacuna,alta,inventariar_links_por_ano,"lei de diretrizes orcamentarias; conecta metas e LOA"
Prefeitura,orcamento,loa,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2025,pdf,parcial,alta,extrair_programas_acoes_e_valores,"base legal do orcamento aprovado"
Prefeitura,orcamento,audiencias_publicas,https://fazenda.sorocaba.sp.gov.br/audienciapublica/,anual,a_mapear,pdf_html,lacuna,media,inventariar_anexos,"contexto publico do ciclo orcamentario"
Prefeitura,receita,registro_analitico_receita_orcamentaria,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,alta,baixar_e_extrair,"detalha receita por classificacao contabil"
Prefeitura,receita,registro_analitico_receita_extraorcamentaria,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,baixar_e_extrair,"receitas extraorcamentarias fora do RREO agregado"
Prefeitura,receita,balancetes_receita,https://fazenda.sorocaba.sp.gov.br/transparencia/,mensal,a_mapear,pdf,lacuna,alta,inventariar_links_por_mes,"necessario para acompanhamento mensal"
Prefeitura,despesa,registro_de_empenhos,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,alta,baixar_e_extrair,"camada inicial da execucao por empenho"
Prefeitura,despesa,registro_analitico_despesa_orcamentaria,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,parcial,critica,baixar_2021_2023_e_normalizar,"base para dotacao empenho liquidacao e pagamento por classificacao"
Prefeitura,despesa,registro_analitico_despesa_extraorcamentaria,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,baixar_e_extrair,"movimentos fora da despesa orcamentaria"
Prefeitura,fornecedores,conta_corrente_fornecedor,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,parcial,critica,baixar_2021_2023_e_publicar_apos_validacao,"responde quem recebeu dinheiro publico"
Prefeitura,fornecedores,conta_corrente_restos_a_pagar_por_fornecedor,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,critica,baixar_e_extrair,"mostra pagamentos de obrigacoes de anos anteriores"
Prefeitura,bancario,conta_corrente_bancario,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,avaliar_campos_publicaveis,"usar para conciliacao agregada; cuidado com granularidade sensivel"
Prefeitura,contabilidade,livro_caixa,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,baixar_para_validacao_cruzada,"validacao de movimentos financeiros"
Prefeitura,contabilidade,livro_diario,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,baixar_para_validacao_cruzada,"contabilidade geral; pode ser volumoso"
Prefeitura,contabilidade,livro_razao,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,baixar_para_validacao_cruzada,"contabilidade por conta"
Prefeitura,fiscal,rreo,https://fazenda.sorocaba.sp.gov.br/transparencia/,bimestral,2020-2025,pdf_api,parcial,alta,cruzar_portal_local_com_siconfi,"validar RREO local contra SICONFI"
Prefeitura,fiscal,rgf,https://fazenda.sorocaba.sp.gov.br/transparencia/,quadrimestral,2020-2025,pdf_api,parcial,alta,cruzar_portal_local_com_siconfi,"pessoal divida garantias e disponibilidade"
Prefeitura,saude,relatorios_lrf_saude,https://fazenda.sorocaba.sp.gov.br/transparencia/,quadrimestral,2020-2025,pdf,publicado,alta,manter_atualizacao,"base atual das paginas de saude"
Prefeitura,educacao,relatorios_aplicacao_ensino,https://fazenda.sorocaba.sp.gov.br/transparencia/,trimestral,2020-2025,pdf,publicado,alta,manter_atualizacao,"base atual das paginas de educacao"
Prefeitura,obras,obras_publicas,https://fazenda.sorocaba.sp.gov.br/transparencia/,continua,a_mapear,html_pdf,lacuna,critica,inventariar_e_cruzar_contratos,"responde obra valor prazo empresa e situacao"
Prefeitura,contratos,contratos_e_aditivos,https://fazenda.sorocaba.sp.gov.br/transparencia/,continua,a_mapear,html_pdf,lacuna,critica,inventariar_links_e_campos,"cruzar com fornecedores empenhos pagamentos e PNCP"
Prefeitura,compras,licitacoes,https://fazenda.sorocaba.sp.gov.br/transparencia/,continua,a_mapear,html_pdf,lacuna,alta,inventariar_e_cruzar_pncp,"processo de compra antes do contrato"
Prefeitura,atos,jornal_oficial,https://noticias.sorocaba.sp.gov.br/jornal-do-municipio/,diaria,a_mapear,pdf,lacuna,alta,criar_indice_por_data_e_assunto,"leis decretos editais contratos creditos adicionais"
Prefeitura,pessoal,remuneracao_servidores,https://fazenda.sorocaba.sp.gov.br/transparencia/,mensal,a_mapear,html_csv_pdf,lacuna,alta,inventariar_formato_e_campos,"folha e cargos; publicar apenas o que for legalmente publicavel"
Prefeitura,precatórios,precatorios,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,a_mapear,pdf,lacuna,media,inventariar_e_cruzar_rgf,"passivos judiciais e obrigacoes"
SICONFI,fiscal,rreo,https://www.gov.br/conecta/catalogo/apis/siconfi-extratos-das-declaracoes-contabeis,bimestral,2020-2025,api,parcial,alta,automatizar_coleta_completa,"fonte federal para receita despesa e anexos"
SICONFI,fiscal,rgf,https://www.gov.br/conecta/catalogo/apis/siconfi-extratos-das-declaracoes-contabeis,quadrimestral,2020-2025,api,parcial,alta,automatizar_coleta_completa,"fonte federal para pessoal divida e limites"
SICONFI,fiscal,dca,https://www.gov.br/conecta/catalogo/apis/siconfi-extratos-das-declaracoes-contabeis,anual,2020-2025,api,parcial,alta,automatizar_coleta_completa,"fonte federal para despesas por funcao e balancos anuais"
SICONFI,contabilidade,msc,https://www.gov.br/conecta/catalogo/apis/siconfi-extratos-das-declaracoes-contabeis,mensal,a_mapear,api,lacuna,critica,verificar_disponibilidade_sorocaba,"matriz de saldos contabeis; pode detalhar muito mais que anexos"
SIOPS,saude,receitas_despesas_saude,https://portalfns.saude.gov.br/siops/,bimestral_anual,2020-2025,sistema,lacuna,alta,baixar_relatorios_sorocaba,"validacao independente da saude"
FNS,saude,repasses_sus,https://portalfns.saude.gov.br/,mensal,a_mapear,sistema,lacuna,alta,mapear_repasses_por_favorecido,"transferencias federais da saude"
SIOPE,educacao,receitas_despesas_educacao,https://www.gov.br/fnde/pt-br/assuntos/sistemas/siope/relatorios-municipais,bimestral_anual,2020-2025,sistema,lacuna,alta,baixar_relatorios_sorocaba,"validacao independente da educacao"
FNDE,educacao,repasses_programas,https://www.gov.br/fnde/pt-br,mensal,a_mapear,sistema,lacuna,alta,mapear_pdde_pnae_pnate_fundeb,"repasses federais da educacao"
Portal_Transparencia_Federal,transferencias,transferencias_para_sorocaba,https://portaldatransparencia.gov.br/transferencias,mensal,a_mapear,api_html,lacuna,critica,coletar_por_ente_e_cnpj,"transferencias constitucionais legais voluntarias e emendas"
Transferegov,transferencias,convenios_e_instrumentos,https://www.gov.br/transferegov/pt-br,continua,a_mapear,api_html,lacuna,alta,mapear_instrumentos_sorocaba,"convenios obras repasses voluntarios e prestacao de contas"
PNCP,compras,licitacoes_contratos_atas,https://www.gov.br/pncp/pt-br,continua,2022-2026,api,lacuna,critica,coletar_por_cnpj_e_termos,"base nacional obrigatoria para Lei 14133"
TCE_SP,controle,contas_e_pareceres,https://www.tce.sp.gov.br/,anual,a_mapear,html_pdf,lacuna,alta,inventariar_processos_sorocaba,"pareceres alertas julgamentos e fiscalizacoes"
AUDESP,controle,dados_enviados_ao_tce,https://www.tce.sp.gov.br/audesp,continua,a_mapear,sistema,lacuna,alta,identificar_acesso_publico_e_downloads,"cruzamento com dados enviados ao tribunal"
Camara,orcamento,execucao_orcamentaria_legislativo,https://www.camarasorocaba.sp.gov.br/,mensal_anual,a_mapear,html_pdf,parcial,alta,inventariar_portal_transparencia,"separar custo da Camara do Executivo"
Camara,pessoal,subsidios_e_remuneracao,https://www.camarasorocaba.sp.gov.br/,mensal,a_mapear,html_pdf,parcial,alta,validar_subsidios_e_beneficios,"vereadores servidores comissionados verbas e beneficios"
Camara,contratos,contratos_despesas_gabinete,https://www.camarasorocaba.sp.gov.br/,continua,a_mapear,html_pdf,lacuna,critica,inventariar_contratos_e_despesas,"responde custo por vereador gabinete e fornecedor"
Camara,legislativo,projetos_leis_votacoes,https://sorocaba.camarasempapel.com.br/,continua,a_mapear,html_pdf,parcial,alta,indexar_materias_com_impacto_fiscal,"conectar decisao legislativa a gasto publico"
Camara,emendas,emendas_impositivas,https://servicos.sorocaba.sp.gov.br/cepa_publico/#/emendas,continua,2020-2026,html,publicado,critica,atualizar_anualmente,"Publicado 2026-05-22: 3.627 emendas 49 vereadores R$263,9M indicado/R$47,4M pago. Arquivos: emendas_cepa_sorocaba_2020_2026.csv + por_parlamentar + por_ano em data/public/sorocaba/emendas/"
Urbes,transporte,relacao_mensal_despesas,https://www.urbes.com.br/transparencia/index,mensal,a_mapear,html_pdf,lacuna,critica,baixar_e_extrair,"despesas da empresa publica de mobilidade"
Urbes,transporte,contratos_compras_diretas,https://www.urbes.com.br/transparencia/index,continua,a_mapear,html_pdf,lacuna,alta,inventariar_contratos,"contratos e compras diretas"
Urbes,transporte,remuneracao_transporte_publico,https://www.urbes.com.br/transparencia/index,mensal,a_mapear,html_pdf,lacuna,critica,extrair_series,"subsidiar custo real do transporte coletivo"
Urbes,transporte,contratos_concessao_transporte,https://urbes.com.br/transparencia/contratos-transporte,continua,a_mapear,html_pdf,lacuna,critica,baixar_contratos_e_aditivos,"concessoes de transporte coletivo"
SAAE,saneamento,receitas_despesas,https://www.saaesorocaba.com.br/transparencia/,mensal,a_mapear,html_pdf,lacuna,critica,inventariar_downloads,"autarquia com fluxo financeiro proprio"
SAAE,saneamento,licitacoes_contratos_obras,https://www.saaesorocaba.com.br/transparencia/,continua,a_mapear,html_pdf,lacuna,critica,inventariar_e_cruzar_pncp,"agua esgoto obras contratos e fornecedores"
SAAE,pessoal,remuneracao_rh,https://www.saaesorocaba.com.br/transparencia/,mensal,a_mapear,html_pdf,lacuna,media,inventariar_formato,"folha da autarquia"
FUNSERV,previdencia,balancos_receitas_despesas,https://funservsorocaba.sp.gov.br/transparencia/portal-da-transpar%C3%AAncia,mensal_anual,a_mapear,html_pdf,lacuna,critica,inventariar_downloads,"previdencia e saude dos servidores"
FUNSERV,previdencia,avaliacao_atuarial,https://www.funservsorocaba.sp.gov.br/administracao-e-planejamento/transparencia-publica/avaliacao-atuarial,anual,a_mapear,pdf,lacuna,critica,baixar_series,"passivo previdenciario de longo prazo"
FUNSERV,previdencia,investimentos_e_rentabilidade,https://funservsorocaba.sp.gov.br/transparencia/portal-da-transpar%C3%AAncia,mensal,a_mapear,html_pdf,lacuna,alta,extrair_carteira_e_resultados,"impacta equilibrio atuarial"
AGEM,metropolitano,receitas_despesas,https://www.agemsorocaba.sp.gov.br/habit_ag_sorocaba/transparencia/receitas%20e%20despesas,mensal_anual,a_mapear,html_pdf,lacuna,baixa,verificar_relacao_com_sorocaba,"somente publicar o que tiver vinculo claro com Sorocaba"
