data_referencia,municipio,periodo_alvo,orgao,area,tipo_dado,prioridade,status_fonte_original,status_auditavel,url,periodicidade,anos_disponiveis_declarados,granularidade_alvo,formato,metodo_acesso,script_existente,comando_coleta_bruta,camada_destino,publicacao_autorizada,evidencia_local,bloqueio_atual,pedido_lai,agente_responsavel,proximo_passo,observacao
2026-05-21,Sorocaba,2020-2026,SICONFI,fiscal,dca,alta,parcial,parcial,https://www.gov.br/conecta/catalogo/apis/siconfi-extratos-das-declaracoes-contabeis,anual,2020-2025,anual,api,api_siconfi,pipelines/extrator_executivo.py,python pipelines/extrator_executivo.py --ano 2020 --ano 2021 --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario oficial e roadmap Sorocaba 100,2026 depende de entregas oficiais.,nao,pipeline,automatizar_coleta_completa,fonte federal para despesas por funcao e balancos anuais
2026-05-21,Sorocaba,2020-2026,SICONFI,contabilidade,msc,critica,lacuna,lai_necessario,https://www.gov.br/conecta/catalogo/apis/siconfi-extratos-das-declaracoes-contabeis,mensal,a_mapear,mensal e anual,api,api_siconfi,a_criar,verificar disponibilidade da MSC para IBGE 3552205 e criar coletor se houver dados publicos,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Sem coletor MSC dedicado no repo.,sim,dados,verificar_disponibilidade_sorocaba,matriz de saldos contabeis; pode detalhar muito mais que anexos
2026-05-21,Sorocaba,2020-2026,SIOPS,saude,receitas_despesas_saude,alta,lacuna,parcial,https://portalfns.saude.gov.br/siops/,bimestral_anual,2020-2025,bimestral e anual,sistema,sistema_setorial,pipelines/baixar_rreo_sus.py,python pipelines/baixar_rreo_sus.py --ano 2020 --ano 2021 --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Pode exigir download manual conforme formato do SIOPS.,nao,pipeline,baixar_relatorios_sorocaba,validacao independente da saude
2026-05-21,Sorocaba,2020-2026,FNS,saude,repasses_sus,alta,lacuna,parcial,https://portalfns.saude.gov.br/,mensal,a_mapear,mensal e anual,sistema,sistema_setorial,pipelines/baixar_fns_repasses.py,python pipelines/baixar_fns_repasses.py --ano 2020 --ano 2021 --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Validar se a serie interna ja coletada cobre todo o periodo.,nao,pipeline,mapear_repasses_por_favorecido,transferencias federais da saude
2026-05-21,Sorocaba,2020-2026,SIOPE,educacao,receitas_despesas_educacao,alta,lacuna,lai_necessario,https://www.gov.br/fnde/pt-br/assuntos/sistemas/siope/relatorios-municipais,bimestral_anual,2020-2025,bimestral e anual,sistema,manual_lai,a_criar,mapear fonte e preparar LAI para SIOPE receitas_despesas_educacao,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Sem automacao dedicada no repo.,sim,dados,baixar_relatorios_sorocaba,validacao independente da educacao
2026-05-21,Sorocaba,2020-2026,FNDE,educacao,repasses_programas,alta,lacuna,lai_necessario,https://www.gov.br/fnde/pt-br,mensal,a_mapear,mensal e anual,sistema,manual_lai,a_criar,mapear fonte e preparar LAI para FNDE repasses_programas,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Sem automacao dedicada no repo.,sim,dados,mapear_pdde_pnae_pnate_fundeb,repasses federais da educacao
2026-05-21,Sorocaba,2020-2026,Portal_Transparencia_Federal,transferencias,transferencias_para_sorocaba,critica,lacuna,parcial,https://portaldatransparencia.gov.br/transferencias,mensal,a_mapear,mensal e anual,api_html,api_com_chave,pipelines/baixar_transferencias_federais.py,python pipelines/baixar_transferencias_federais.py --ano 2020 --ano 2021 --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Requer PORTAL_TRANSPARENCIA_KEY ativa.,sim_preparado,dados,coletar_por_ente_e_cnpj,transferencias constitucionais legais voluntarias e emendas
2026-05-21,Sorocaba,2020-2026,Transferegov,transferencias,convenios_e_instrumentos,alta,lacuna,parcial,https://www.gov.br/transferegov/pt-br,continua,a_mapear,evento/documento,api_html,download_zip,pipelines/baixar_transferegov_sorocaba.py,python pipelines/baixar_transferegov_sorocaba.py --dataset convenio --dataset proposta --dataset empenho --max-mb 200,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Requer filtragem local por Sorocaba.,nao,dados,mapear_instrumentos_sorocaba,convenios obras repasses voluntarios e prestacao de contas
2026-05-21,Sorocaba,2020-2026,PNCP,compras,licitacoes_contratos_atas,critica,lacuna,parcial,https://www.gov.br/pncp/pt-br,continua,2022-2026,evento/documento,api,api_publica,pipelines/baixar_pncp_sorocaba.py,python pipelines/baixar_pncp_sorocaba.py --dataset compras --dataset contratos --dataset atas --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Coletar em janelas pequenas para evitar rate limit.,sim_preparado,dados,coletar_por_cnpj_e_termos,base nacional obrigatoria para Lei 14133
2026-05-21,Sorocaba,2020-2026,TCE_SP,controle,contas_e_pareceres,alta,lacuna,lai_necessario,https://www.tce.sp.gov.br/,anual,a_mapear,anual,html_pdf,portal_api_html,pipelines/baixar_tce_sorocaba.py,python pipelines/baixar_tce_sorocaba.py,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Processos do portal legado podem exigir browser ou LAI.,sim,dados,inventariar_processos_sorocaba,pareceres alertas julgamentos e fiscalizacoes
2026-05-21,Sorocaba,2020-2026,AUDESP,controle,dados_enviados_ao_tce,alta,lacuna,parcial,https://www.tce.sp.gov.br/audesp,continua,a_mapear,evento/documento,sistema,portal_api_html,pipelines/baixar_tce_sorocaba.py,python pipelines/baixar_tce_sorocaba.py --amostra-transparencia --ano 2020 --ano 2021 --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Identificar downloads publicos antes de tratar como cobertura integral.,nao,dados,identificar_acesso_publico_e_downloads,cruzamento com dados enviados ao tribunal
2026-05-21,Sorocaba,2020-2026,Camara,orcamento,execucao_orcamentaria_legislativo,alta,parcial,parcial,https://www.camarasorocaba.sp.gov.br/,mensal_anual,a_mapear,mensal e anual,html_pdf,playwright,pipelines/baixar_camara_playwright.py,python pipelines/baixar_camara_playwright.py,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario oficial e roadmap Sorocaba 100,Portal pode bloquear requests diretos; Playwright necessario.,nao,dados,inventariar_portal_transparencia,separar custo da Camara do Executivo
2026-05-21,Sorocaba,2020-2026,Camara,pessoal,subsidios_e_remuneracao,alta,parcial,parcial,https://www.camarasorocaba.sp.gov.br/,mensal,a_mapear,mensal e anual,html_pdf,manual_lai,a_criar,mapear fonte e preparar LAI para Camara subsidios_e_remuneracao,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario oficial e roadmap Sorocaba 100,Sem automacao dedicada no repo.,sim,dados,validar_subsidios_e_beneficios,vereadores servidores comissionados verbas e beneficios
2026-05-21,Sorocaba,2020-2026,Camara,contratos,contratos_despesas_gabinete,critica,lacuna,parcial,https://www.camarasorocaba.sp.gov.br/,continua,a_mapear,evento/documento,html_pdf,playwright,pipelines/baixar_camara_playwright.py,python pipelines/baixar_camara_playwright.py,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Contratos e demais despesas ainda precisam ser separados de gabinete.,sim_preparado,dados,inventariar_contratos_e_despesas,responde custo por vereador gabinete e fornecedor
2026-05-21,Sorocaba,2020-2026,Camara,legislativo,projetos_leis_votacoes,alta,parcial,parcial,https://sorocaba.camarasempapel.com.br/,continua,a_mapear,evento/documento,html_pdf,manual_lai,a_criar,mapear fonte e preparar LAI para Camara projetos_leis_votacoes,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario oficial e roadmap Sorocaba 100,Sem automacao dedicada no repo.,sim,dados,indexar_materias_com_impacto_fiscal,conectar decisao legislativa a gasto publico
2026-05-21,Sorocaba,2020-2026,Camara,emendas,emendas_impositivas,critica,lacuna,parcial,https://servicos.sorocaba.sp.gov.br/cepa_publico/#/emendas,continua,a_mapear,evento/documento,html,api_publica,pipelines/baixar_cepa_emendas.py,python pipelines/baixar_cepa_emendas.py --ano 2020 --ano 2021 --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Coleta interna existente precisa validacao semantica antes de publicar.,sim_preparado,dados,mapear_autor_destino_empenho_pagamento,CEPA divulgado pela Agencia de Noticias de Sorocaba; vereador valor entidade area e execucao
2026-05-21,Sorocaba,2020-2026,Urbes,transporte,relacao_mensal_despesas,critica,lacuna,parcial,https://www.urbes.com.br/transparencia/index,mensal,a_mapear,mensal e anual,html_pdf,portal_html_pdf,pipelines/baixar_urbes_transparencia.py,python pipelines/baixar_urbes_transparencia.py,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Normalizacao pendente.,sim_preparado,dados,baixar_e_extrair,despesas da empresa publica de mobilidade
2026-05-21,Sorocaba,2020-2026,Urbes,transporte,contratos_compras_diretas,alta,lacuna,parcial,https://www.urbes.com.br/transparencia/index,continua,a_mapear,evento/documento,html_pdf,portal_html_pdf,pipelines/baixar_urbes_playwright.py,python pipelines/baixar_urbes_playwright.py --categoria contratos_outros,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Normalizacao pendente.,nao,dados,inventariar_contratos,contratos e compras diretas
2026-05-21,Sorocaba,2020-2026,Urbes,transporte,remuneracao_transporte_publico,critica,lacuna,parcial,https://www.urbes.com.br/transparencia/index,mensal,a_mapear,mensal e anual,html_pdf,portal_html_pdf,pipelines/baixar_urbes_playwright.py,python pipelines/baixar_urbes_playwright.py --categoria remuneracao_transporte_publico,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Extrair serie mensal antes de publicar.,sim_preparado,dados,extrair_series,subsidiar custo real do transporte coletivo
2026-05-21,Sorocaba,2020-2026,Urbes,transporte,contratos_concessao_transporte,critica,lacuna,parcial,https://urbes.com.br/transparencia/contratos-transporte,continua,a_mapear,evento/documento,html_pdf,portal_html_pdf,pipelines/baixar_urbes_playwright.py,python pipelines/baixar_urbes_playwright.py --categoria contratos_transporte,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,"Baixar contratos e aditivos, depois cruzar com pagamentos.",sim_preparado,dados,baixar_contratos_e_aditivos,concessoes de transporte coletivo
2026-05-21,Sorocaba,2020-2026,SAAE,saneamento,receitas_despesas,critica,lacuna,parcial,https://www.saaesorocaba.com.br/transparencia/,mensal,a_mapear,mensal e anual,html_pdf,playwright_tdaportal,pipelines/baixar_saae_dados_abertos.py,"python pipelines/baixar_saae_dados_abertos.py --categorias receitas,despesas --ano 2020 --ano 2021 --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026",raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Requer Playwright e captura do endpoint de dados abertos.,sim_preparado,dados,inventariar_downloads,autarquia com fluxo financeiro proprio
2026-05-21,Sorocaba,2020-2026,SAAE,saneamento,licitacoes_contratos_obras,critica,lacuna,parcial,https://www.saaesorocaba.com.br/transparencia/,continua,a_mapear,evento/documento,html_pdf,playwright_tdaportal,pipelines/baixar_saae_dados_abertos.py,"python pipelines/baixar_saae_dados_abertos.py --categorias contratos,licitacoes,obras --ano 2020 --ano 2021 --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026",raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Requer Playwright e normalizacao semantica.,sim_preparado,dados,inventariar_e_cruzar_pncp,agua esgoto obras contratos e fornecedores
2026-05-21,Sorocaba,2020-2026,SAAE,pessoal,remuneracao_rh,media,lacuna,parcial,https://www.saaesorocaba.com.br/transparencia/,mensal,a_mapear,mensal e anual,html_pdf,playwright_tdaportal,pipelines/baixar_saae_dados_abertos.py,python pipelines/baixar_saae_dados_abertos.py --categorias rh --ano 2020 --ano 2021 --ano 2022 --ano 2023 --ano 2024 --ano 2025 --ano 2026,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Publicabilidade de remuneracao deve ser avaliada antes de publicar.,nao,dados,inventariar_formato,folha da autarquia
2026-05-21,Sorocaba,2020-2026,FUNSERV,previdencia,balancos_receitas_despesas,critica,lacuna,parcial,https://funservsorocaba.sp.gov.br/transparencia/portal-da-transpar%C3%AAncia,mensal_anual,a_mapear,mensal e anual,html_pdf,portal_html_pdf,pipelines/baixar_funserv.py,python pipelines/baixar_funserv.py,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Normalizacao pendente.,sim_preparado,dados,inventariar_downloads,previdencia e saude dos servidores
2026-05-21,Sorocaba,2020-2026,FUNSERV,previdencia,avaliacao_atuarial,critica,lacuna,parcial,https://www.funservsorocaba.sp.gov.br/administracao-e-planejamento/transparencia-publica/avaliacao-atuarial,anual,a_mapear,anual,pdf,portal_html_pdf,pipelines/baixar_funserv.py,python pipelines/baixar_funserv.py,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Extrair serie atuarial antes de publicar.,sim_preparado,dados,baixar_series,passivo previdenciario de longo prazo
2026-05-21,Sorocaba,2020-2026,FUNSERV,previdencia,investimentos_e_rentabilidade,alta,lacuna,parcial,https://funservsorocaba.sp.gov.br/transparencia/portal-da-transpar%C3%AAncia,mensal,a_mapear,mensal e anual,html_pdf,portal_html_pdf,pipelines/baixar_funserv.py,python pipelines/baixar_funserv.py,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Extrair carteira e resultados antes de publicar.,nao,dados,extrair_carteira_e_resultados,impacta equilibrio atuarial
2026-05-21,Sorocaba,2020-2026,AGEM,metropolitano,receitas_despesas,baixa,lacuna,lai_necessario,https://www.agemsorocaba.sp.gov.br/habit_ag_sorocaba/transparencia/receitas%20e%20despesas,mensal_anual,a_mapear,mensal e anual,html_pdf,manual_lai,a_criar,mapear fonte e preparar LAI para AGEM receitas_despesas,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Sem automacao dedicada no repo.,sim,dados,verificar_relacao_com_sorocaba,somente publicar o que tiver vinculo claro com Sorocaba
